timestamp,acceleration.x,acceleration.y,acceleration.z
1.487304617021e+12,-0.11,-0.05,0.98
1.487304617535e+12,-0.13,-0.10,1.03
1.487304618029e+12,-0.11,-0.14,1.00
1.487304618525e+12,-0.11,-0.20,1.00
1.487304619023e+12,-0.11,-0.19,0.99
1.487304619519e+12,-0.13,-0.15,1.04
1.487304620014e+12,-0.08,-0.11,1.01
1.487304620509e+12,-0.12,-0.06,1.00
1.487304621006e+12,-0.09,-0.09,0.98
1.487304621502e+12,-0.07,0.01,1.00
1.487304621997e+12,-0.07,-0.01,0.96
1.487304622494e+12,-0.09,-0.06,1.01
1.487304623004e+12,-0.09,-0.03,1.01
1.487304623502e+12,-0.10,-0.06,1.03
1.487304623997e+12,-0.10,-0.04,1.02
1.487304624509e+12,-0.11,-0.05,1.04
1.487304625007e+12,-0.10,-0.01,1.02
1.487304625501e+12,-0.10,-0.02,1.03
1.487304625998e+12,-0.08,0.01,0.98
1.487304626476e+12,-0.08,0.00,0.98
1.487304626925e+12,-0.10,0.00,0.98
1.487304627421e+12,-0.08,-0.00,0.96
1.487304627902e+12,-0.08,0.01,0.98
1.487304628413e+12,-0.10,-0.00,1.01
1.487304628893e+12,-0.06,0.03,0.96
1.487304629404e+12,-0.08,-0.01,1.04
1.487304629901e+12,-0.11,-0.03,1.01
1.487304630396e+12,-0.08,-0.02,1.03
1.487304630892e+12,-0.06,0.03,0.97
1.487304631389e+12,-0.08,-0.02,1.04
1.487304631887e+12,-0.12,-0.03,1.01
1.487304632396e+12,-0.10,-0.01,1.04
1.487304632876e+12,-0.09,0.01,0.97
1.487304633389e+12,-0.08,-0.01,1.04
1.487304633886e+12,-0.12,-0.01,1.02
1.48730463438e+12,-0.09,-0.02,1.03
1.487304634876e+12,-0.09,-0.01,1.00
1.487304635389e+12,-0.11,-0.01,1.04
1.48730463587e+12,-0.07,0.01,0.97
1.487304636364e+12,-0.08,0.00,1.00
1.48730463686e+12,-0.08,-0.00,0.98
1.487304637355e+12,-0.11,-0.02,1.02
1.487304637853e+12,-0.10,-0.01,1.04
1.487304638346e+12,-0.10,-0.01,0.98
1.487304638846e+12,-0.07,-0.00,1.00
1.487304639339e+12,-0.12,-0.01,1.00
1.487304639838e+12,-0.07,0.00,0.98
1.487304640331e+12,-0.11,-0.01,1.01
1.487304640829e+12,-0.07,0.02,0.96
1.487304641324e+12,-0.07,-0.00,1.00
1.487304641804e+12,-0.10,0.00,0.99
1.487304642314e+12,-0.09,-0.01,1.01
1.487304642811e+12,-0.10,-0.02,1.04
1.487304643307e+12,-0.12,-0.02,1.02
1.48730464382e+12,-0.10,-0.02,1.04
1.487304644315e+12,-0.14,-0.04,1.01
1.487304644811e+12,-0.09,-0.02,1.03
1.487304645307e+12,-0.12,-0.03,1.01
1.48730464582e+12,-0.09,-0.01,1.04
1.487304646314e+12,-0.11,-0.02,1.01
1.48730464681e+12,-0.10,-0.02,1.04
1.487304647322e+12,-0.12,-0.02,1.01
1.487304647818e+12,-0.10,-0.02,1.05
1.487304648316e+12,-0.12,-0.03,1.01
1.487304648827e+12,-0.09,-0.01,1.04
1.487304649305e+12,-0.09,-0.00,0.98
1.487304649802e+12,-0.05,0.04,0.97
1.487304650252e+12,-0.11,0.00,0.96
1.487304650745e+12,-0.11,-0.03,1.01
1.487304651241e+12,-0.10,-0.01,1.04
1.487304651752e+12,-0.12,-0.03,1.03
1.487304652252e+12,-0.09,-0.01,1.04
1.487304652744e+12,-0.13,-0.02,1.00
1.487304653241e+12,-0.07,0.01,0.97
1.487304653689e+12,-0.11,0.00,0.96
1.487304654186e+12,-0.11,-0.02,1.01
1.487304654699e+12,-0.10,-0.01,1.04
1.487304655192e+12,-0.12,-0.03,1.01
1.48730465569e+12,-0.10,-0.02,1.04
1.487304656185e+12,-0.11,-0.03,1.02
1.487304656697e+12,-0.11,-0.01,1.04
1.487304657195e+12,-0.11,-0.03,1.02
1.487304657689e+12,-0.11,-0.00,1.04
1.487304658199e+12,-0.12,-0.03,1.03
1.487304658697e+12,-0.09,-0.01,1.04
1.487304659192e+12,-0.11,-0.04,1.02
1.487304659688e+12,-0.08,-0.02,1.04
1.487304660199e+12,-0.09,-0.02,1.01
1.487304660697e+12,-0.10,-0.02,1.04
1.487304661191e+12,-0.08,-0.01,0.98
1.48730466164e+12,-0.09,0.00,0.95
1.487304662121e+12,-0.08,0.04,0.97
1.487304662615e+12,-0.07,0.06,0.96
1.487304663113e+12,-0.09,0.06,0.93
1.487304663608e+12,-0.11,0.12,1.00
1.487304664103e+12,-0.09,0.13,0.96
1.487304664599e+12,-0.08,0.11,1.02
1.487304665097e+12,-0.11,0.08,1.00
1.487304665591e+12,-0.12,-0.00,1.01
1.487304666087e+12,-0.08,-0.03,1.05
1.487304666601e+12,-0.06,-0.02,1.00
